ticker,asset_class,window,forgetting_factor,ls_sharpe,hit_rate,rmse
TIP,Fixed Income,25,0.98,0.13956228892070457,0.50379451255108,0.003673305990298758
TLT,Fixed Income,25,0.98,0.17655412340205512,0.5083863504916136,0.009646813748123125
USO,Commodity,25,0.98,0.05059381869176655,0.5079825834542816,0.022780486043506055
VNQ,Real Estate,25,0.98,-0.22494644995333848,0.5144675925925926,0.012809062037173755
XLE,US Equity,25,0.98,-0.06793130784707074,0.5091119467746601,0.017603521343650636
XLF,US Equity,25,0.98,-0.057604560229978535,0.5121238679520889,0.01387059919162244
XLK,US Equity,25,0.98,0.14260821352561032,0.5254138832413593,0.013639919194145993
XLP,US Equity,25,0.98,-0.10680207431840717,0.509494595384166,0.00878872500164347
XLU,US Equity,25,0.98,-0.11277842608896159,0.5164196454519036,0.011303748743442489
XLV,US Equity,25,0.98,0.12206973729525747,0.5152483299448156,0.01028190782790587
DBC,Commodity,25,0.99,-0.021326226543046892,0.5066195939982348,0.01078294699070622
DIA,US Equity,25,0.99,0.07861351413823812,0.5280184864240324,0.010495429129875151
EEM,Intl Equity,25,0.99,-0.08281093540669456,0.5114725530060993,0.013414350831400015
EFA,Intl Equity,25,0.99,-0.060902788810802196,0.5172513772107857,0.011394533500172459
EWJ,Intl Equity,25,0.99,-0.38477945998514185,0.507488986784141,0.011123399362898334
FXI,Intl Equity,25,0.99,-0.07438982507621503,0.5058072009291521,0.017324939362174885
GLD,Commodity,25,0.99,0.19067563063146933,0.5153179190751445,0.009761887748798116
HYG,Fixed Income,25,0.99,0.1278737336263921,0.5289304500292227,0.0053493443774320065
IEF,Fixed Income,25,0.99,0.47807861991766043,0.515661252900232,0.004167914560999086
IWM,US Equity,25,0.99,-0.21566109443458642,0.5126947489901904,0.013978970196631772
LQD,Fixed Income,25,0.99,0.12202363516443177,0.5186154741128564,0.0049557937837416246
QQQ,US Equity,25,0.99,0.5026263419499349,0.5516045099739809,0.012993823052571133
